Step 0, Time: 0.01, MPIs: 8 Threads: 14 Elapsed: 0.0805645
  Walk1@gravshort-tree.c:0155        0.35 41.7%        0.17 45.3%        0.15       0.17
  Walk2@gravshort-tree.c:0156        0.12 14.5%        0.07 17.9%        0.05       0.07
Step 2, Time: 0.0111581, MPIs: 8 Threads: 14 Elapsed: 1.21885
                                   1.22 99.8%        0.39 99.9%        0.39       0.39
 Domain                            0.07  5.4%        0.02  4.0%        0.02       0.02
  Decompose                         0.00  0.2%        0.00  0.1%        0.00       0.00
   Misc@domain.c:0355                0.00  0.1%        0.00  0.0%        0.00       0.00
   Sumcost@domain.c:0407             0.00  0.1%        0.00  0.1%        0.00       0.00
   assignbalance@domain.c:0412        0.00  0.0%        0.00  0.0%        0.00       0.00
   memorybound@domain.c:0418         0.00  0.0%        0.00  0.0%        0.00       0.00
  DetermineTopTree                  0.03  2.4%        0.01  1.9%        0.01       0.01
   Addnodes@domain.c:1211            0.00  0.0%        0.00  0.0%        0.00       0.00
   Combine@domain.c:1199             0.00  0.1%        0.00  0.1%        0.00       0.00
   CreateLeaves@domain.c:0378        0.00  0.0%        0.00  0.0%        0.00       0.00
   LocalRefine                       0.00  0.1%        0.00  0.0%        0.00       0.00
    Init@domain.c:1159                0.00  0.0%        0.00  0.0%        0.00       0.00
    truncate@domain.c:1177            0.00  0.0%        0.00  0.0%        0.00       0.00
   Misc@domain.c:1150                0.00  0.0%        0.00  0.0%        0.00       0.00
   Sort@domain.c:0950                0.03  2.2%        0.01  1.8%        0.01       0.01
  PeanoSort@domain.c:0229           0.01  1.0%        0.00  1.1%        0.00       0.00
  exchange                          0.02  1.7%        0.00  0.8%        0.00       0.00
   alltoall@exchange.c:0354          0.01  1.2%        0.00  0.6%        0.00       0.00
   finalize@exchange.c:0377          0.00  0.0%        0.00  0.0%        0.00       0.00
   garbage@exchange.c:0254           0.00  0.1%        0.00  0.0%        0.00       0.00
   init@exchange.c:0115              0.00  0.0%        0.00  0.0%        0.00       0.00
   makebuf@exchange.c:0243           0.00  0.2%        0.00  0.1%        0.00       0.00
   togo@exchange.c:0130              0.00  0.0%        0.00  0.0%        0.00       0.00
   togo@exchange.c:0137              0.00  0.2%        0.00  0.1%        0.00       0.00
  All@drift.c:0110                  0.00  0.1%        0.00  0.1%        0.00       0.00
 Init@init.c:0256                  0.05  4.0%        0.00  0.0%        0.00       0.00
 LongRange@gravpm.c:0097           0.00  0.3%        0.00  0.3%        0.00       0.00
 Misc@checkpoint.c:0026            0.00  0.0%        0.00  0.0%        0.00       0.00
 Misc@domain.c:0168                0.00  0.0%        0.00  0.0%        0.00       0.00
 Misc@drift.c:0094                 0.01  0.5%        0.00  0.4%        0.00       0.00
 Misc@forcetree.c:0147             0.00  0.3%        0.00  0.3%        0.00       0.00
 Misc@gravshort-tree.c:0138        0.00  0.0%        0.00  0.0%        0.00       0.00
 Misc@gravshort-tree.c:0144        0.00  0.0%        0.00  0.0%        0.00       0.00
 Misc@run.c:0153                   0.00  0.1%        0.00  0.0%        0.00       0.00
 Misc@timestep.c:0187              0.00  0.4%        0.00  0.6%        0.00       0.00
 Misc@timestep.c:0336              0.00  0.0%        0.00  0.0%        0.00       0.00
 PMgrav                            0.27 22.0%        0.09 24.0%        0.09       0.09
  Misc@petapm.c:0263                0.00  0.1%        0.00  0.1%        0.00       0.00
  Misc@petapm.c:0345                0.00  0.0%        0.00  0.0%        0.00       0.00
  Regions@gravpm.c:0188             0.00  0.0%        0.00  0.0%        0.00       0.00
  c2r@petapm.c:0336                 0.13 10.5%        0.05 11.9%        0.04       0.05
